child_age_years,Stunting,Wasting,Underweight
0,22.287677957781053,23.125608568646545,13.10513447432763
1,38.886023723568854,27.991782229070367,12.403895438236802
2,43.5347261434218,24.395727937043283,5.518018018018018
3,44.28412874583796,25.730027548209367,4.887424492037342
4,35.67974207415368,23.187633262260128,4.810261892036345
