wealth_index,Stunting,Wasting,Underweight
poorest,54.746679783571075,37.518248175182485,9.346246973365616
poorer,48.33235810415448,30.069524913093858,7.719094602437609
middle,37.24959393611261,24.301075268817204,6.881720430107527
richer,28.15206929740135,20.26897214217099,8.867469879518072
richest,13.138267355134825,10.983981693363845,8.558299827685238
