region,Stunting,Wasting,Underweight
north west,52.132107023411365,32.59783513738551,8.174273858921161
north east,52.08711433756806,34.2433234421365,8.664688427299703
north central,35.5145746579417,20.640569395017792,6.34638196915777
south west,21.22587968217934,21.79775280898876,10.568181818181818
south south,19.98199819981998,17.92792792792793,10.649819494584838
south east,19.326241134751772,15.01766784452297,7.433628318584071
