mother_education,Stunting,Wasting,Underweight
no education,53.990746096009254,35.45064377682404,8.92755276668568
primary,37.117903930131,23.892267593397047,7.578397212543554
secondary,27.44663154976435,20.049710024855013,8.667959014123513
higher,13.25,9.634551495016613,6.171809841534612
